850.000000	256839.400000	11814.294837	160848.900000	1706.317116
777.000000	187197.100000	2576.706746	120319.800000	1152.314656
704.000000	136242.300000	1451.708652	87276.000000	899.407706
631.000000	94755.500000	1045.451763	61981.100000	917.472791
558.000000	66513.200000	2427.322430	43777.300000	1094.467811
485.000000	42526.600000	779.164396	28860.000000	747.444535
412.000000	25775.300000	691.062797	18247.900000	562.419861
339.000000	14293.000000	195.698180	10536.800000	762.685140
266.000000	7177.800000	361.243777	5391.900000	284.941495
193.000000	2749.500000	160.489010	2143.200000	61.798598
120.000000	696.500000	113.323774	616.300000	41.668133
